timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,
37.590000000,0.0607275,-1.30161,0.261162,-6.124,-9.00754,4.06802,8.62061,-4.51871,-0.282479,10.2238,-1.87805,-1.0762,-7.378,-8.33467,-0.577355,0.86927,
37.638000000,0.137928,-1.28975,0.325149,-6.41068,-9.22264,4.13032,8.85175,-4.58159,-0.120309,10.6507,-1.96074,-1.09896,-7.68252,-8.67951,-0.504447,0.939462,
37.690000000,0.172945,-1.28483,0.363381,-6.58123,-9.71619,4.27559,9.27594,-4.69388,-0.0361511,10.865,-2.00764,-1.11188,-7.84847,-8.86771,-0.454633,0.988143,
37.742000000,0.266521,-1.27313,0.437634,-6.91063,-10.0411,4.37281,9.53706,-4.76091,0.154609,11.3345,-2.09891,-1.13701,-8.18667,-9.25167,-0.367856,1.07446,
37.792000000,0.309759,-1.26843,0.475708,-7.0785,-10.5064,4.51376,10.0048,-4.87688,0.233321,11.5221,-2.15493,-1.1524,-8.35836,-9.44672,-0.326153,1.11667,
37.846000000,0.399308,-1.26013,0.553612,-7.41965,-11.0195,4.67086,10.2108,-4.92626,0.435587,11.9884,-2.24611,-1.17739,-8.66841,-9.7989,-0.238499,1.20702,
37.898000000,0.451488,-1.25617,0.598099,-7.61298,-11.2843,4.75234,10.6883,-5.03681,0.536423,12.2126,-2.35026,-1.20576,-8.98072,-10.1532,-0.184359,1.26397,
37.956000000,0.556677,-1.25009,0.681667,-7.97312,-11.8778,4.93502,11.185,-5.14602,0.748679,12.6667,-2.40547,-1.2207,-9.1429,-10.3369,-0.0767634,1.37991,
38.004000000,0.660337,-1.24654,0.759724,-8.3058,-12.1125,5.00712,11.3567,-5.18242,0.94739,13.0696,-2.52245,-1.25206,-9.44299,-10.6757,-0.0319079,1.42937,
38.054000000,0.708877,-1.24567,0.796796,-8.46253,-12.6284,5.16525,11.7584,-5.26488,1.04811,13.2653,-2.58434,-1.26847,-9.58989,-10.8409,0.0560645,1.52838,
38.108000000,0.811962,-1.24549,0.874276,-8.78737,-12.8621,5.23676,11.9733,-5.30744,1.25168,13.6431,-2.70082,-1.29894,-9.83556,-11.1158,0.104853,1.58446,
38.164000000,0.876958,-1.2465,0.957862,-9.13363,-13.4019,5.40238,12.4017,-5.389,1.37358,13.8576,-2.82487,-1.33074,-10.1237,-11.4357,0.206369,1.70393,
