timestamp,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,
36.340000000,5.064,-2.57074,-2.38705,-0.911013,-0.421512,-1.53393,1.69599,-4.37778,0.0137641,-2.03946,-3.58819,-3.03028,-2.36377,-3.39566,0.331955,4.74876,
36.382000000,5.064,-2.57074,-2.38705,-0.911013,-0.421512,-1.53393,1.69599,-4.37778,0.0137641,-2.03946,-3.58819,-3.03028,-2.36377,-3.39566,0.331955,4.74876,
36.424000000,5.06402,-2.57074,-2.38706,-0.910996,-0.42151,-1.53393,1.696,-4.37779,0.0137679,-2.03946,-3.5882,-3.03028,-2.36377,-3.39567,0.331955,4.74876,
36.462000000,5.06412,-2.57072,-2.38717,-0.910877,-0.421487,-1.53388,1.69601,-4.37789,0.0137998,-2.03945,-3.58825,-3.0303,-2.36376,-3.39576,0.331957,4.74877,
36.500000000,5.06446,-2.57064,-2.38753,-0.91047,-0.421392,-1.53368,1.69606,-4.37824,0.0139336,-2.03943,-3.5885,-3.03038,-2.36375,-3.39611,0.331968,4.74885,
36.544000000,5.06527,-2.57046,-2.3884,-0.909476,-0.421136,-1.53315,1.69619,-4.37914,0.0142949,-2.03937,-3.58925,-3.03064,-2.36372,-3.39694,0.332003,4.74911,
36.582000000,5.06686,-2.5701,-2.39013,-0.907508,-0.419752,-1.53028,1.69643,-4.38088,0.0150591,-2.03925,-3.59093,-3.03121,-2.36366,-3.39872,0.332081,4.74969,
36.626000000,5.06957,-2.56949,-2.39312,-0.90413,-0.418163,-1.52698,1.69689,-4.3841,0.0164373,-2.03902,-3.59893,-3.03395,-2.36354,-3.40189,0.33223,4.75079,
36.668000000,5.0794,-2.56727,-2.39776,-0.898884,-0.415896,-1.52227,1.69761,-4.38922,0.021543,-2.0382,-3.60713,-3.03675,-2.36336,-3.40696,0.332479,4.75263,
36.708000000,5.08744,-2.56546,-2.41299,-0.881693,-0.412739,-1.51571,1.70016,-4.40711,0.0259662,-2.03748,-3.61754,-3.0403,-2.3631,-3.41441,0.333145,4.7576,
36.750000000,5.09786,-2.5631,-2.42531,-0.867804,-0.408566,-1.50703,1.70209,-4.42072,0.0318306,-2.03653,-3.63213,-3.04528,-2.36273,-3.42471,0.334109,4.76479,
36.790000000,5.11087,-2.56015,-2.43999,-0.851252,-0.403276,-1.49602,1.70439,-4.43687,0.0392811,-2.03532,-3.6508,-3.05166,-2.36225,-3.43822,0.335028,4.77168,
36.832000000,5.1266,-2.55659,-2.4557,-0.833531,-0.397536,-1.48406,1.707,-4.45519,0.0484217,-2.03383,-3.67383,-3.05954,-2.36102,-3.47249,0.336165,4.7802,
36.872000000,5.14513,-2.55239,-2.47277,-0.814283,-0.390387,-1.46917,1.71006,-4.47658,0.0593133,-2.03206,-3.7014,-3.06898,-2.36016,-3.49648,0.337527,4.79043,
36.918000000,5.16645,-2.54754,-2.49591,-0.788176,-0.381632,-1.45093,1.71401,-4.50416,0.0719766,-2.03,-3.73356,-3.08002,-2.35915,-3.52433,0.33912,4.8024,
36.964000000,5.19051,-2.54206,-2.54972,-0.727452,-0.360448,-1.40677,1.72361,-4.57076,0.0863964,-2.02766,-3.77029,-3.09264,-2.35799,-3.55599,0.340942,4.81611,
37.012000000,5.24488,-2.52965,-2.58339,-0.689471,-0.348097,-1.38102,1.72924,-4.60952,0.119322,-2.02234,-3.85445,-3.12165,-2.3567,-3.59136,0.345001,4.8467,
37.062000000,5.27126,-2.52362,-2.61815,-0.650289,-0.334646,-1.35298,1.7354,-4.6517,0.135424,-2.01976,-3.89839,-3.13684,-2.35373,-3.67253,0.347182,4.86313,
37.110000000,5.30464,-2.51597,-2.65542,-0.608307,-0.30472,-1.29067,1.74206,-4.69705,0.15589,-2.01651,-4.00135,-3.17251,-2.35208,-3.7179,0.349805,4.88291,
